0 files renamed.
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.26    0.000537          44        12         4 wait4
 22.54    0.000444          55         8           clone
 15.23    0.000300           4        75           rt_sigprocmask
  6.35    0.000125           5        21        13 openat
  4.72    0.000093           3        24         8 close
  4.42    0.000087           3        22           rt_sigaction
  2.39    0.000047           4        10           newfstatat
  1.73    0.000034           8         4           mprotect
  1.57    0.000031           7         4           pipe2
  1.47    0.000029           4         7         7 ioctl
  1.27    0.000025           3         7         1 fcntl
  1.12    0.000022           2         8           fstat
  1.07    0.000021          21         1           write
  0.96    0.000019           9         2           getdents64
  0.91    0.000018           3         5           read
  0.86    0.000017           4         4           rt_sigreturn
  0.76    0.000015           3         4           lseek
  0.71    0.000014           1        14           mmap
  0.66    0.000013           4         3           getpid
  0.66    0.000013           4         3           prlimit64
  0.61    0.000012          12         1           munmap
  0.61    0.000012           4         3           getppid
  0.51    0.000010           3         3           brk
  0.30    0.000006           6         1           dup2
  0.25    0.000005           5         1           getresgid
  0.25    0.000005           5         1           getrandom
  0.20    0.000004           4         1           uname
  0.20    0.000004           4         1           getpgrp
  0.20    0.000004           4         1           getresuid
  0.20    0.000004           4         1           futex
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.001970           7       260        34 total
