n0CzrLo3
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.94    0.001186         395         3         1 wait4
 10.51    0.000145          72         2           clone
  1.38    0.000019           1        19           rt_sigprocmask
  0.58    0.000008           0        11         2 close
  0.51    0.000007           7         1           write
  0.29    0.000004           0        16           rt_sigaction
  0.22    0.000003           0         5           read
  0.22    0.000003           0         7           fstat
  0.22    0.000003           0         4         4 ioctl
  0.14    0.000002           2         1           rt_sigreturn
  0.00    0.000000           0         4           lseek
  0.00    0.000000           0        14           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         4         1 fcntl
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           getresuid
  0.00    0.000000           0         1           getresgid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0        20        13 openat
  0.00    0.000000           0         8           newfstatat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           pipe2
  0.00    0.000000           0         3           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.001380           9       152        22 total
