3 files renamed.
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 67.64    0.001465         244         6         3 wait4
  6.51    0.000141          47         3           clone
  6.33    0.000137           3        36           rt_sigprocmask
  4.16    0.000090           4        20         3 newfstatat
  3.65    0.000079           3        21        13 openat
  1.34    0.000029           1        20           rt_sigaction
  1.11    0.000024           4         6         6 ioctl
  0.92    0.000020          20         1           write
  0.78    0.000017           8         2           getdents64
  0.74    0.000016           3         5           read
  0.74    0.000016           4         4           lseek
  0.69    0.000015           5         3           rt_sigreturn
  0.60    0.000013           1         8           fstat
  0.55    0.000012           4         3           getpid
  0.55    0.000012           4         3         1 fcntl
  0.55    0.000012           4         3           getppid
  0.46    0.000010           3         3         1 access
  0.42    0.000009           1         8           close
  0.37    0.000008           4         2           getuid
  0.37    0.000008           4         2           geteuid
  0.37    0.000008           4         2           getegid
  0.37    0.000008           2         3           prlimit64
  0.32    0.000007           3         2           getgid
  0.28    0.000006           6         1           dup2
  0.18    0.000004           4         1           getpgrp
  0.00    0.000000           0        14           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           getresuid
  0.00    0.000000           0         1           getresgid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.002166          10       202        27 total
