
Name = Harrison
Soundex = H625

% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.35    0.000546          34        16         8 wait4
 15.28    0.000410           3       115           rt_sigprocmask
 11.93    0.000320          40         8           clone
  9.24    0.000248         248         1           execve
  6.82    0.000183          13        14           mmap
  5.96    0.000160           4        38           rt_sigaction
  5.63    0.000151           7        20        13 openat
  5.22    0.000140           6        23           close
  3.80    0.000102           4        22           read
  3.02    0.000081          10         8           pipe2
  1.45    0.000039           4         8           newfstatat
  1.23    0.000033           4         7           fstat
  1.23    0.000033           8         4           mprotect
  1.19    0.000032           8         4           write
  1.19    0.000032           4         8           rt_sigreturn
  0.78    0.000021           4         5           lseek
  0.56    0.000015           5         3           brk
  0.48    0.000013           4         3         3 ioctl
  0.45    0.000012          12         1           munmap
  0.45    0.000012           4         3           getpid
  0.45    0.000012           4         3         1 fcntl
  0.45    0.000012           4         3           getppid
  0.45    0.000012           4         3           prlimit64
  0.37    0.000010           5         2           pread64
  0.22    0.000006           6         1         1 access
  0.22    0.000006           6         1           dup2
  0.19    0.000005           5         1           futex
  0.19    0.000005           5         1           getrandom
  0.15    0.000004           4         1           uname
  0.15    0.000004           4         1           getpgrp
  0.15    0.000004           4         1           getresuid
  0.15    0.000004           4         1           getresgid
  0.15    0.000004           4         1           arch_prctl
  0.15    0.000004           4         1           set_tid_address
  0.15    0.000004           4         1           set_robust_list
  0.15    0.000004           4         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.002683           8       334        26 total
