% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 22.04    0.000106           5        20        13 openat
 13.10    0.000063           4        14           rt_sigaction
 10.19    0.000049           6         8           newfstatat
  7.48    0.000036           9         4           mprotect
  4.16    0.000020          20         1           futex
  3.53    0.000017           2         7           close
  3.12    0.000015          15         1           set_tid_address
  2.91    0.000014           1        14           mmap
  2.70    0.000013           2         6           fstat
  2.70    0.000013           4         3           lseek
  2.70    0.000013           4         3           prlimit64
  2.49    0.000012           3         4           read
  2.49    0.000012          12         1           munmap
  2.49    0.000012           4         3           rt_sigprocmask
  2.49    0.000012           4         3         1 fcntl
  2.08    0.000010           3         3           brk
  2.08    0.000010           3         3         3 ioctl
  1.87    0.000009           3         3           getpid
  1.87    0.000009           3         3           getppid
  1.04    0.000005           5         1           dup2
  1.04    0.000005           5         1           uname
  1.04    0.000005           5         1           getresuid
  1.04    0.000005           5         1           getresgid
  1.04    0.000005           5         1           getrandom
  0.83    0.000004           4         1           set_robust_list
  0.83    0.000004           4         1           rseq
  0.62    0.000003           3         1           getpgrp
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.000481           4       117        18 total
