1827
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 71.96    0.002767         345         8         4 wait4
  7.13    0.000274           4        56           rt_sigprocmask
  6.81    0.000262          65         4           clone
  3.36    0.000129           8        16           read
  3.09    0.000119           5        20        13 openat
  1.92    0.000074           2        26           rt_sigaction
  1.27    0.000049           3        15           close
  1.09    0.000042          10         4           pipe2
  0.91    0.000035           5         7           lseek
  0.62    0.000024          24         1           write
  0.49    0.000019           4         4           rt_sigreturn
  0.39    0.000015           5         3         1 fcntl
  0.23    0.000009           3         3         3 ioctl
  0.21    0.000008           1         7           fstat
  0.18    0.000007           7         1           dup2
  0.16    0.000006           0         7           newfstatat
  0.16    0.000006           2         3           prlimit64
  0.00    0.000000           0        14           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           getresuid
  0.00    0.000000           0         1           getresgid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.003845          16       227        22 total
