
Name = Harrison
Soundex = H625

% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.32    0.028716        2393        12         6 wait4
  1.00    0.000300          50         6           clone
  0.69    0.000209           2        85           rt_sigprocmask
  0.45    0.000137           6        22           read
  0.37    0.000110           3        32           rt_sigaction
  0.34    0.000103           5        20        13 openat
  0.28    0.000084           6        14           mmap
  0.25    0.000074           3        19           close
  0.17    0.000052           8         6           pipe2
  0.14    0.000041          10         4           mprotect
  0.12    0.000037           4         8           newfstatat
  0.12    0.000036           9         4           write
  0.12    0.000035           3         9           lseek
  0.08    0.000023           7         3           prlimit64
  0.07    0.000021           3         7           fstat
  0.05    0.000016           2         6           rt_sigreturn
  0.05    0.000015           7         2           pread64
  0.04    0.000012          12         1           munmap
  0.04    0.000012           4         3         3 ioctl
  0.04    0.000012           4         3           getpid
  0.04    0.000012           4         3         1 fcntl
  0.04    0.000012           4         3           getppid
  0.03    0.000009           3         3           brk
  0.02    0.000005           5         1           dup2
  0.02    0.000005           5         1           futex
  0.02    0.000005           5         1           getrandom
  0.01    0.000004           4         1           uname
  0.01    0.000004           4         1           getpgrp
  0.01    0.000004           4         1           getresuid
  0.01    0.000004           4         1           getresgid
  0.01    0.000004           4         1           arch_prctl
  0.01    0.000004           4         1           set_tid_address
  0.01    0.000004           4         1           set_robust_list
  0.01    0.000004           4         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.030125         104       288        24 total
