q1,q2,l1,l2,runs,process_count,completed,makespan,throughput,avg_turnaround_time,avg_waiting_time,avg_response_time,cpu_utilization
20,40,20,20,10,300.0,300.0,150678.8,0.001992058116253138,98981.382,98479.12000000001,14708.901666666667,0.9999987059683149
20,80,20,20,10,300.0,300.0,150678.8,0.001992058116253138,98981.382,98479.12000000001,14708.901666666667,0.9999987059683149
20,120,20,20,10,300.0,300.0,150678.8,0.001992058116253138,98981.382,98479.12000000001,14708.901666666667,0.9999987059683149
40,40,20,20,10,300.0,300.0,150678.8,0.001992058116253138,98981.382,98479.12000000001,14708.901666666667,0.9999987059683149
40,80,20,20,10,300.0,300.0,150678.8,0.001992058116253138,98981.382,98479.12000000001,14708.901666666667,0.9999987059683149
40,120,20,20,10,300.0,300.0,150678.8,0.001992058116253138,98981.382,98479.12000000001,14708.901666666667,0.9999987059683149
10,40,20,20,10,300.0,300.0,150678.8,0.001992058116253138,99074.77766666666,98572.51566666667,7405.334666666667,0.9999987059683149
10,80,20,20,10,300.0,300.0,150678.8,0.001992058116253138,99074.77766666666,98572.51566666667,7405.334666666667,0.9999987059683149
10,120,20,20,10,300.0,300.0,150678.8,0.001992058116253138,99074.77766666666,98572.51566666667,7405.334666666667,0.9999987059683149
20,40,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99357.076,98854.814,14663.738000000001,0.9999987059683149
20,80,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99357.076,98854.814,14663.738000000001,0.9999987059683149
20,120,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99357.076,98854.814,14663.738000000001,0.9999987059683149
40,40,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99357.076,98854.814,14663.738000000001,0.9999987059683149
40,80,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99357.076,98854.814,14663.738000000001,0.9999987059683149
40,120,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99357.076,98854.814,14663.738000000001,0.9999987059683149
40,40,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99384.82733333333,98882.56533333333,14547.970666666666,0.9999987059683149
40,80,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99384.82733333333,98882.56533333333,14547.970666666666,0.9999987059683149
40,120,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99384.82733333333,98882.56533333333,14547.970666666666,0.9999987059683149
10,40,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99465.54400000001,98963.28199999999,7405.334666666667,0.9999987059683149
10,80,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99465.54400000001,98963.28199999999,7405.334666666667,0.9999987059683149
10,120,20,30,10,300.0,300.0,150678.8,0.001992058116253138,99465.54400000001,98963.28199999999,7405.334666666667,0.9999987059683149
20,40,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99487.98233333333,98985.72033333333,7410.3043333333335,0.9999987059683149
20,80,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99487.98233333333,98985.72033333333,7410.3043333333335,0.9999987059683149
20,120,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99487.98233333333,98985.72033333333,7410.3043333333335,0.9999987059683149
10,40,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99635.82566666667,99133.56366666667,4910.334666666667,0.9999987059683149
10,80,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99635.82566666667,99133.56366666667,4910.334666666667,0.9999987059683149
10,120,30,20,10,300.0,300.0,150678.8,0.001992058116253138,99635.82566666667,99133.56366666667,4910.334666666667,0.9999987059683149
40,40,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99737.91966666667,99235.65766666667,14502.638,0.9999987059683149
40,80,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99737.91966666667,99235.65766666667,14502.638,0.9999987059683149
40,120,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99737.91966666667,99235.65766666667,14502.638,0.9999987059683149
10,40,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99800.091,99297.829,4910.334666666667,0.9999987059683149
10,80,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99800.091,99297.829,4910.334666666667,0.9999987059683149
10,120,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99800.091,99297.829,4910.334666666667,0.9999987059683149
20,40,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99808.64133333333,99306.37933333333,7410.3043333333335,0.9999987059683149
20,80,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99808.64133333333,99306.37933333333,7410.3043333333335,0.9999987059683149
20,120,30,30,10,300.0,300.0,150678.8,0.001992058116253138,99808.64133333333,99306.37933333333,7410.3043333333335,0.9999987059683149
