pid,arrival_time,burst_time
223,0,94
347,0,286
473,0,917
730,0,505
792,0,36
814,0,796
818,0,960
874,0,751
233,1,659
298,1,70
339,1,183
352,1,588
495,1,589
568,1,478
609,1,705
645,1,108
655,1,897
883,1,431
228,2,653
261,2,545
299,2,447
392,2,163
464,2,577
539,2,264
595,2,523
644,2,58
665,2,601
726,2,72
775,2,389
791,2,923
844,2,115
864,2,863
965,2,400
103,3,568
297,3,637
302,3,374
361,3,707
416,3,306
434,3,473
462,3,475
497,3,574
499,3,591
531,3,135
563,3,247
636,3,929
904,3,861
1,4,302
263,4,935
304,4,137
337,4,31
420,4,768
503,4,395
519,4,369
674,4,570
702,4,475
704,4,584
843,4,675
225,5,100
239,5,803
366,5,966
472,5,433
586,5,21
699,5,122
934,5,208
991,5,183
93,6,695
183,6,981
452,6,222
567,6,617
676,6,304
806,6,92
822,6,865
944,6,912
985,6,60
28,7,869
35,7,106
100,7,479
384,7,414
422,7,42
426,7,959
577,7,55
881,7,375
902,7,221
959,7,862
25,8,60
166,8,360
379,8,784
662,8,620
815,8,965
923,8,96
31,9,544
132,9,503
214,9,304
243,9,640
281,9,681
520,9,854
564,9,845
601,9,949
635,9,737
734,9,270
788,9,277
816,9,100
43,10,809
377,10,695
410,10,304
523,10,993
633,10,707
736,10,701
741,10,310
742,10,451
825,10,720
903,10,659
916,10,670
921,10,837
80,11,744
128,11,284
156,11,936
218,11,707
362,11,282
396,11,753
445,11,455
450,11,784
459,11,926
509,11,190
512,11,983
513,11,190
671,11,645
824,11,516
847,11,90
6,12,474
102,12,37
173,12,812
435,12,813
453,12,402
487,12,355
624,12,10
696,12,120
764,12,990
795,12,562
962,12,696
993,12,244
16,13,849
67,13,935
114,13,726
119,13,25
196,13,871
199,13,863
211,13,19
215,13,692
236,13,960
318,13,465
550,13,73
50,14,314
108,14,602
121,14,346
170,14,833
241,14,111
266,14,87
282,14,900
315,14,517
380,14,167
412,14,908
501,14,710
565,14,397
588,14,21
673,14,37
725,14,631
766,14,117
794,14,246
984,14,644
17,15,394
68,15,139
72,15,744
231,15,434
269,15,30
357,15,473
424,15,253
432,15,829
470,15,475
521,15,11
555,15,616
576,15,396
666,15,459
770,15,766
899,15,188
42,16,878
185,16,817
279,16,21
356,16,922
381,16,507
490,16,391
582,16,986
610,16,513
697,16,850
718,16,32
752,16,349
983,16,127
187,17,192
371,17,549
603,17,238
910,17,516
957,17,845
3,18,992
66,18,12
134,18,337
221,18,983
646,18,730
664,18,17
817,18,554
827,18,792
836,18,707
922,18,381
970,18,922
972,18,58
18,19,108
61,19,597
125,19,719
138,19,302
152,19,630
186,19,228
203,19,594
262,19,460
385,19,651
506,19,164
556,19,773
854,19,813
19,20,534
402,20,257
456,20,768
496,20,707
502,20,538
594,20,523
637,20,507
639,20,811
667,20,135
685,20,653
729,20,464
29,21,313
249,21,650
367,21,104
641,21,791
893,21,780
988,21,179
15,22,69
90,22,812
354,22,72
468,22,489
625,22,318
839,22,692
24,23,395
27,23,974
47,23,698
89,23,560
120,23,395
184,23,320
222,23,377
317,23,927
394,23,927
653,23,650
769,23,278
887,23,796
995,23,103
83,24,711
91,24,733
159,24,212
192,24,277
732,24,33
950,24,771
237,25,638
285,25,763
403,25,448
553,25,424
658,25,997
717,25,608
846,25,985
850,25,504
81,26,877
177,26,252
530,26,934
562,26,189
651,26,742
737,26,48
926,26,972
945,26,401
149,27,638
238,27,260
504,27,416
532,27,357
541,27,292
591,27,888
629,27,91
680,27,97
724,27,12
780,27,460
908,27,596
110,28,143
115,28,137
135,28,20
235,28,925
246,28,275
321,28,697
525,28,280
831,28,283
966,28,612
996,28,500
94,29,991
274,29,518
436,29,344
575,29,328
580,29,741
691,29,418
813,29,303
990,29,670
127,30,54
276,30,330
463,30,678
672,30,828
687,30,401
757,30,901
113,31,16
126,31,214
393,31,929
510,31,581
682,31,875
779,31,689
888,31,299
898,31,913
960,31,67
163,32,183
195,32,863
202,32,107
271,32,717
333,32,805
359,32,161
480,32,904
748,32,357
773,32,758
882,32,293
890,32,470
74,33,969
85,33,618
224,33,348
363,33,186
511,33,999
826,33,934
925,33,749
23,34,598
130,34,867
300,34,268
307,34,782
323,34,274
478,34,152
587,34,491
661,34,535
754,34,933
828,34,153
30,35,920
247,35,417
433,35,837
528,35,766
537,35,91
650,35,626
692,35,947
695,35,315
733,35,615
797,35,855
963,35,905
327,36,120
418,36,20
475,36,582
488,36,972
596,36,736
740,36,690
929,36,125
340,37,204
401,37,546
454,37,211
617,37,44
659,37,63
947,37,47
95,38,237
242,38,37
306,38,811
350,38,638
500,38,949
522,38,726
600,38,632
678,38,540
743,38,339
767,38,689
829,38,301
940,38,648
62,39,121
176,39,866
355,39,738
446,39,256
514,39,280
546,39,980
578,39,398
755,39,44
793,39,347
811,39,909
894,39,876
44,40,61
122,40,277
308,40,93
326,40,338
343,40,168
408,40,245
411,40,968
552,40,210
632,40,909
643,40,868
735,40,789
840,40,772
859,40,358
871,40,915
918,40,758
935,40,662
946,40,884
968,40,533
87,41,417
171,41,376
