process_count,arrival_window,service_capacity,distribution,model,arrival_rate,service_rate,servers,utilization,stable,avg_queue_length,avg_system_length,avg_waiting_time,avg_response_time,probability_wait
100,50,5,poisson,M/M/1,2.0,5,1,0.4,True,0.2666666666666667,0.6666666666666667,0.13333333333333333,0.3333333333333333,0.4
100,50,5,poisson,M/M/S,2.0,1.25,4,0.4,True,0.06046648951874817,1.6604664895187482,0.030233244759374084,0.8302332447593741,0.09069973427812225
100,50,10,poisson,M/M/1,2.0,10,1,0.2,True,0.05000000000000001,0.25,0.025,0.125,0.2
100,50,10,poisson,M/M/S,2.0,2.5,4,0.2,True,0.0023952095808383233,0.8023952095808383,0.0011976047904191617,0.40119760479041916,0.009580838323353293
100,50,20,poisson,M/M/1,2.0,20,1,0.1,True,0.011111111111111113,0.11111111111111112,0.005555555555555556,0.05555555555555555,0.1
100,50,20,poisson,M/M/S,2.0,5.0,4,0.1,True,8.827099194527201e-05,0.40008827099194527,4.4135495972636005e-05,0.20004413549597264,0.000794438927507448
100,100,5,poisson,M/M/1,1.0,5,1,0.2,True,0.05000000000000001,0.25,0.05,0.25,0.2
100,100,5,poisson,M/M/S,1.0,1.25,4,0.2,True,0.0023952095808383233,0.8023952095808383,0.0023952095808383233,0.8023952095808383,0.009580838323353293
100,100,10,poisson,M/M/1,1.0,10,1,0.1,True,0.011111111111111113,0.11111111111111112,0.011111111111111112,0.1111111111111111,0.1
100,100,10,poisson,M/M/S,1.0,2.5,4,0.1,True,8.827099194527201e-05,0.40008827099194527,8.827099194527201e-05,0.40008827099194527,0.000794438927507448
100,100,20,poisson,M/M/1,1.0,20,1,0.05,True,0.002631578947368422,0.052631578947368425,0.002631578947368421,0.05263157894736842,0.05
100,100,20,poisson,M/M/S,1.0,5.0,4,0.05,True,3.023934441101318e-06,0.2000030239344411,3.023934441101318e-06,0.2000030239344411,5.745475438092503e-05
100,200,5,poisson,M/M/1,0.5,5,1,0.1,True,0.011111111111111113,0.11111111111111112,0.022222222222222223,0.2222222222222222,0.1
100,200,5,poisson,M/M/S,0.5,1.25,4,0.1,True,8.827099194527201e-05,0.40008827099194527,0.00017654198389054402,0.8001765419838905,0.000794438927507448
100,200,10,poisson,M/M/1,0.5,10,1,0.05,True,0.002631578947368422,0.052631578947368425,0.005263157894736842,0.10526315789473684,0.05
100,200,10,poisson,M/M/S,0.5,2.5,4,0.05,True,3.023934441101318e-06,0.2000030239344411,6.047868882202636e-06,0.4000060478688822,5.745475438092503e-05
